submission_id,image_path,verified_text,extracted_text,verified_at,topic,student_name,literal_verified,literal_verified_by,literal_verified_at,correction_edit_distance
bond_writer1_2,images/bond/bond_writer1_2.jpg,"#include <stdio.h>
int main() {
    int a, b;
    printf(""Enter two numbers: "");
    scanf(""%d %d"", &a, &b);
    if (a > b) {
        printf(""Larger: %d\n"", a);
    } else {
        printf(""Larger: %d\n"", b);
    }
    return 0;
}",,2026-08-30,,writer1,,,,
bond_writer1_3,images/bond/bond_writer1_3.jpg,"#include <stdio.h>
int main() {
    int n = 1;
    int factorial = 1;
    while (n <= 5) {
        factorial = factorial * n;
    }
    printf(""Factorial of 5 = %d\n"", factorial);
    if (factorial > 100) {
        printf(""Large result\n"");
    }
    return 0;
}",,2026-08-30,,writer1,,,,
bond_writer1_4,images/bond/bond_writer1_4.jpg,"#include <stdio.h>
int sumArray(int arr[], int size) {
    int sum = 0;
    for (int i = 0; i < size; i++) {
        sum += arr[i];
    }
    return sum;
}

int main() {
    int nums[5] = {70, 20, 30, 40, 50};
    printf(""Sum: %d\n"", sumArray(nums, 5));
    return 0;
}",,2026-08-30,,writer1,,,,
bond_writer2_2,images/bond/bond_writer2_2.jpg,"#include <stdio.h>
int main() {
    int arr[5] = {1, 2, 3, 4, 5};
    for (int i = 0; i < 5; i++) {
        printf(""%d \n"", arr[i]);
    }
    return 0;
}",,2026-08-30,,writer2,,,,
bond_writer2_3,images/bond/bond_writer2_3.jpg,"#include <stdio.h>
int main() {
    int a, b, sum;
    scanf(""%d %d "", &a &b);
    sum = a + b;
    printf(""sum: %d\n "", sum);
    return 0;
}",,2026-08-30,,writer2,,,,
bond_writer2_4,images/bond/bond_writer2_4.jpg,"#include <stdio.h>
int add(int x, int y) {
    return x + y;
}
int main() {
    int result = add(3, 4);
    printf(""Result: %d\n"", result);
    return 0;
}",,2026-08-30,,writer2,,,,
bond_writer3_1,images/bond/bond_writer3_1.jpg,"if (x > 5); {
    printf(""Hello\n"");
}
if (score = 100) {
    printf(""Perfect!\n"");
}
do {
    x++;
} while (x < 5)",,2026-08-30,,writer3,,,,
bond_writer3_2,images/bond/bond_writer3_2.jpg,"#include <stdio.h>
int main() {
    int rows = 4;
    int cols = 5;
    for (int i = 1; i <= rows; i++) {
        for (int j = 1; j <= cols; j++) {
            printf(""* "");
        }
        printf(""\n"");
    }
    return 0;
}",,2026-08-30,,writer3,,,,
bond_writer3_3,images/bond/bond_writer3_3.jpg,"#include <stdio.h>
int main() {
    printf(""printing even numbers from 1 to 10 (stopping if we hit 8): \n"");
    for (int i = 1; i <= 10; i++) {
        if (i % 2 != 0) {
            continue;
        }
        if (i == 8) {
            printf(""Reached 8! Breaking out of loop.\n"");
            break;
        }
        printf(""Number: %d\n"", i);
    }
    return 0;
}",,2026-08-30,,writer3,,,,
bond_writer3_4,images/bond/bond_writer3_4.jpg,"#include <stdio.h>
int main() {
    int userChoice;
    do {
        printf(""\n--- MENU ---\n"");
        printf(""1. Play Game\n"");
        printf(""2. Settings\n"");
        printf(""3. Exit\n"");
        printf(""Enter your choice (1-3): "");
    } while (userChoice < 1 || userChoice > 3);
    printf(""Valid choice selected: %d\n"", userChoice);
    return 0;
}",,2026-08-30,,writer3,,,,
